DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
19.2,1994-09-15T10:45:00Z,-8,1994-09-15T18:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
20.2,1994-09-15T11:00:00Z,-8,1994-09-15T19:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.5,1994-09-15T11:15:00Z,-8,1994-09-15T19:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.3,1994-09-15T11:30:00Z,-8,1994-09-15T19:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.3,1994-09-15T11:45:00Z,-8,1994-09-15T19:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
24,1994-09-15T12:00:00Z,-8,1994-09-15T20:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
24.8,1994-09-15T12:15:00Z,-8,1994-09-15T20:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
25.4,1994-09-15T12:30:00Z,-8,1994-09-15T20:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
26.2,1994-09-15T12:45:00Z,-8,1994-09-15T20:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
27,1994-09-15T13:00:00Z,-8,1994-09-15T21:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
27.9,1994-09-15T13:15:00Z,-8,1994-09-15T21:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.2,1994-09-15T13:30:00Z,-8,1994-09-15T21:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.7,1994-09-15T13:45:00Z,-8,1994-09-15T21:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.9,1994-09-15T14:00:00Z,-8,1994-09-15T22:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
29.1,1994-09-15T14:15:00Z,-8,1994-09-15T22:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
29.2,1994-09-15T14:30:00Z,-8,1994-09-15T22:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
29.4,1994-09-15T14:45:00Z,-8,1994-09-15T22:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
29,1994-09-15T15:00:00Z,-8,1994-09-15T23:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.6,1994-09-15T15:15:00Z,-8,1994-09-15T23:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.6,1994-09-15T15:30:00Z,-8,1994-09-15T23:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
28.1,1994-09-15T15:45:00Z,-8,1994-09-15T23:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
26.8,1994-09-15T16:00:00Z,-8,1994-09-16T00:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
25.1,1994-09-15T16:15:00Z,-8,1994-09-16T00:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
23.4,1994-09-15T16:30:00Z,-8,1994-09-16T00:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
22.1,1994-09-15T16:45:00Z,-8,1994-09-16T00:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
21.2,1994-09-15T17:00:00Z,-8,1994-09-16T01:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
20.2,1994-09-15T17:15:00Z,-8,1994-09-16T01:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
19.3,1994-09-15T17:30:00Z,-8,1994-09-16T01:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
18.5,1994-09-15T17:45:00Z,-8,1994-09-16T01:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
